timestamp,data_loss,physics_loss
1768402467.6164794,0.002034,0.000019
1768402467.6231935,0.002210,0.000018
1768402467.9157505,0.002620,0.000018
1768402467.916633,0.002251,0.000018
1768402467.919061,0.002055,0.000019
1768402467.9253068,0.002141,0.000018
1768402468.2161117,0.002424,0.000018
1768402468.219901,0.002083,0.000019
1768402468.2222958,0.002092,0.000019
1768402468.224319,0.002208,0.000018
1768402468.5156224,0.002216,0.000017
1768402468.5195816,0.002007,0.000018
1768402468.5216568,0.002409,0.000019
1768402468.5227022,0.002192,0.000019
1768402468.8132834,0.002191,0.000018
1768402468.813847,0.001987,0.000018
1768402468.814345,0.002305,0.000018
1768402468.8212414,0.002266,0.000018
1768402469.1130397,0.002080,0.000017
1768402469.1144032,0.002228,0.000017
1768402469.117345,0.002322,0.000019
1768402469.1196475,0.002057,0.000019
1768402469.411473,0.002293,0.000018
1768402469.4116688,0.002354,0.000020
1768402469.414671,0.002180,0.000018
1768402469.41822,0.002041,0.000019
1768402469.7095468,0.002196,0.000018
1768402469.7096171,0.002361,0.000019
1768402469.7121317,0.002100,0.000019
1768402469.7171237,0.002171,0.000018
1768402470.0087023,0.002499,0.000018
1768402470.0090582,0.002139,0.000018
1768402470.012065,0.002063,0.000019
1768402470.0198512,0.002224,0.000018
1768402470.3125198,0.002578,0.000018
1768402470.3132172,0.002107,0.000020
1768402470.3140843,0.002195,0.000018
1768402470.3190527,0.002168,0.000017
1768402470.6108923,0.002407,0.000018
1768402470.6134064,0.002173,0.000019
1768402470.6151748,0.002046,0.000019
1768402470.6199846,0.002206,0.000018
1768402470.9110672,0.002179,0.000018
1768402470.9150476,0.002032,0.000018
1768402470.9177701,0.002439,0.000019
1768402470.926966,0.002236,0.000019
1768402471.2186966,0.002172,0.000018
1768402471.2198105,0.002014,0.000019
1768402471.224944,0.002350,0.000018
1768402471.2296252,0.002168,0.000018
1768402471.5215495,0.002051,0.000017
1768402471.5226393,0.002204,0.000017
1768402471.5288224,0.002072,0.000019
1768402471.5311842,0.002383,0.000019
1768402471.8259525,0.002134,0.000018
1768402471.8273256,0.002296,0.000019
1768402471.8308868,0.002051,0.000019
1768402471.8311603,0.002379,0.000019
1768402472.1267817,0.002348,0.000018
1768402472.1269557,0.002057,0.000019
1768402472.1306238,0.002125,0.000017
1768402472.1365795,0.002093,0.000018
1768402472.4287033,0.002165,0.000018
1768402472.4288862,0.002458,0.000019
1768402472.4288983,0.002076,0.000019
1768402472.4366155,0.002237,0.000018
1768402472.7293122,0.002583,0.000019
1768402472.7295084,0.002221,0.000019
1768402472.7295547,0.002144,0.000020
1768402472.7370324,0.002190,0.000018
